"","시군구","인원수","전체","재가","시설급여","전체_비율","재가_비율","시설_비율"
"1","가평군",898,47,33,14,52.3385300668151,36.7483296213808,15.5902004454343
"2","강릉시",3811,182,102,80,47.7564943584361,26.7646287063763,20.9918656520598
"3","강진군",757,35,27,8,46.2351387054161,35.667107001321,10.5680317040951
"4","거제시",1464,64,57,7,43.7158469945355,38.9344262295082,4.78142076502732
"5","거창군",881,45,37,8,51.0783200908059,41.9977298524404,9.08059023836549
"6","경산시",2238,228,170,58,101.876675603217,75.9606791778374,25.9159964253798
"7","경주시",3177,163,141,22,51.306263770853,44.38149197356,6.92477179729304
"8","계룡시",296,26,17,9,87.8378378378378,57.4324324324324,30.4054054054054
"9","고령군",552,24,17,7,43.4782608695652,30.7971014492754,12.6811594202899
"10","고성군",1411,10,6,4,7.0871722182849,4.25230333097094,2.83486888731396
"11","고성군",1411,39,31,8,27.6399716513111,21.9702338766832,5.66973777462792
"12","고양시덕양구",3338,256,175,81,76.6926303175554,52.4266027561414,24.266027561414
"13","고양시일산동구",2456,212,127,85,86.3192182410423,51.7100977198697,34.6091205211726
"14","고양시일산서구",1985,146,109,37,73.551637279597,54.911838790932,18.639798488665
"15","고창군",952,52,44,8,54.6218487394958,46.218487394958,8.40336134453782
"16","고흥군",1476,58,44,14,39.2953929539295,29.810298102981,9.48509485094851
"17","곡성군",582,38,27,11,65.2920962199313,46.3917525773196,18.9003436426117
"18","공주시",1547,101,78,23,65.2876535229477,50.4201680672269,14.8674854557207
"19","과천시",419,14,12,2,33.4128878281623,28.6396181384248,4.77326968973747
"20","광명시",1712,116,101,15,67.7570093457944,58.9953271028037,8.76168224299065
"21","광양시",1032,77,59,18,74.6124031007752,57.1705426356589,17.4418604651163
"22","광주시",2904,142,110,32,48.8980716253444,37.8787878787879,11.0192837465565
"23","괴산군",939,38,24,14,40.468583599574,25.5591054313099,14.9094781682641
"24","구례군",423,28,23,5,66.193853427896,54.3735224586288,11.8203309692671
"25","구리시",1342,97,77,20,72.2801788375559,57.3770491803279,14.903129657228
"26","구미시",1999,174,126,48,87.0435217608804,63.0315157578789,24.0120060030015
"27","군산시",2643,222,191,31,83.9954597048808,72.2663639803254,11.7290957245554
"28","군위군",640,21,17,4,32.8125,26.5625,6.25
"29","군포시",1781,129,77,52,72.4312184166199,43.2341381246491,29.1970802919708
"30","금산군",793,74,51,23,93.3165195460277,64.312736443884,29.0037831021438
"31","김제시",1207,94,71,23,77.8790389395195,58.8235294117647,19.0555095277548
"32","김천시",1679,121,79,42,72.066706372841,47.0518165574747,25.0148898153663
"33","김포시",3027,201,143,58,66.402378592666,47.2414932276181,19.1608853650479
"34","김해시",2217,198,182,16,89.3098782138024,82.0929183581416,7.2169598556608
"35","나주시",1295,106,84,22,81.8532818532818,64.8648648648649,16.988416988417
"36","남양주시",5496,441,266,175,80.2401746724891,48.3988355167394,31.8413391557496
"37","남원시",1252,77,66,11,61.5015974440895,52.7156549520767,8.78594249201278
"38","남해군",1132,37,34,3,32.6855123674912,30.0353356890459,2.65017667844523
"39","논산시",1497,130,98,32,86.8403473613894,65.4642618570474,21.376085504342
"40","단양군",519,19,10,9,36.6088631984586,19.2678227360308,17.3410404624277
"41","담양군",708,47,31,16,66.3841807909605,43.7853107344633,22.5988700564972
"42","당진시",2373,97,77,20,40.8765276021913,32.4483775811209,8.42815002107037
"43","동두천시",955,96,57,39,100.523560209424,59.6858638743456,40.8376963350785
"44","동해시",1316,44,36,8,33.434650455927,27.355623100304,6.0790273556231
"45","목포시",1385,143,113,30,103.249097472924,81.5884476534296,21.6606498194946
"46","무안군",933,51,34,17,54.6623794212219,36.4415862808146,18.2207931404073
"47","무주군",441,30,24,6,68.0272108843537,54.421768707483,13.6054421768707
"48","문경시",1454,84,63,21,57.7716643741403,43.3287482806052,14.4429160935351
"49","밀양시",1535,80,62,18,52.1172638436482,40.3908794788274,11.7263843648208
"50","보령시",1488,67,55,12,45.0268817204301,36.9623655913978,8.06451612903226
"51","보성군",614,30,24,6,48.8599348534202,39.0879478827362,9.77198697068404
"52","보은군",744,28,23,5,37.6344086021505,30.9139784946237,6.72043010752688
"53","봉화군",496,17,11,6,34.2741935483871,22.1774193548387,12.0967741935484
"54","부안군",655,67,57,10,102.290076335878,87.0229007633588,15.2671755725191
"55","부여군",1074,61,45,16,56.7970204841713,41.8994413407821,14.8975791433892
"56","부천시",5755,453,313,140,78.7141615986099,54.3874891398784,24.3266724587315
"57","사천시",1290,86,68,18,66.6666666666667,52.7131782945736,13.953488372093
"58","산청군",686,47,36,11,68.5131195335277,52.4781341107872,16.0349854227405
"59","삼척시",1141,53,45,8,46.4504820333041,39.4390885188431,7.011393514461
"60","상주시",1832,98,78,20,53.4934497816594,42.5764192139738,10.9170305676856
"61","서귀포시",1819,57,36,21,31.3358988455195,19.7910940076965,11.544804837823
"62","서산시",2240,123,98,25,54.9107142857143,43.75,11.1607142857143
"63","서천군",1061,59,48,11,55.6079170593779,45.2403393025448,10.3675777568332
"64","성남시분당구",3699,155,137,18,41.9032170856988,37.037037037037,4.8661800486618
"65","성남시수정구",1843,85,74,11,46.1204557786218,40.1519262072708,5.96852957135106
"66","성남시중원구",1847,81,66,15,43.8548998375744,35.7336220898755,8.12127774769897
"67","성주군",619,34,26,8,54.9273021001615,42.0032310177706,12.924071082391
"68","세종시",1898,88,73,15,46.3645943097998,38.4615384615385,7.90305584826133
"69","소계",425976,26547,20559,5988,62.320412417601,48.2632824384472,14.0571299791538
"70","속초시",1143,48,34,14,41.994750656168,29.7462817147856,12.2484689413823
"71","수원시권선구",2545,122,90,32,47.9371316306483,35.3634577603143,12.573673870334
"72","수원시영통구",1696,65,57,8,38.3254716981132,33.6084905660377,4.71698113207547
"73","수원시장안구",2439,125,95,30,51.250512505125,38.950389503895,12.30012300123
"74","수원시팔달구",1653,114,92,22,68.9655172413793,55.6563823351482,13.3091349062311
"75","순창군",451,26,21,5,57.649667405765,46.5631929046563,11.0864745011086
"76","순천시",2187,149,121,28,68.129858253315,55.3269318701417,12.8029263831733
"77","시흥시",2297,270,172,98,117.544623421855,74.8802786242926,42.664344797562
"78","신안군",609,30,19,11,49.2610837438424,31.1986863711002,18.0623973727422
"79","아산시",2362,158,122,36,66.8924640135478,51.6511430990686,15.2413209144793
"80","안동시",2106,98,80,18,46.5337132003799,37.9867046533713,8.54700854700855
"81","안산시단원구",1480,140,73,67,94.5945945945946,49.3243243243243,45.2702702702703
"82","안산시상록구",1823,166,93,73,91.0586944596818,51.0148107515085,40.0438837081733
"83","안성시",2229,117,75,42,52.4899057873486,33.6473755047106,18.842530282638
"84","안양시동안구",1813,125,113,12,68.9464975179261,62.3276337562052,6.6188637617209
"85","안양시만안구",1963,132,101,31,67.2440142638818,51.4518593988793,15.7921548650025
"86","양구군",280,8,3,5,28.5714285714286,10.7142857142857,17.8571428571429
"87","양산시",1937,143,121,22,73.8255033557047,62.4677336086732,11.3577697470315
"88","양양군",645,21,15,6,32.5581395348837,23.2558139534884,9.30232558139535
"89","양주시",2452,222,111,111,90.5383360522023,45.2691680261011,45.2691680261011
"90","양평군",1725,98,63,35,56.8115942028986,36.5217391304348,20.2898550724638
"91","여수시",1999,144,113,31,72.0360180090045,56.528264132066,15.5077538769385
"92","여주시",1428,83,54,29,58.1232492997199,37.8151260504202,20.3081232492997
"93","연천군",618,44,34,10,71.1974110032362,55.0161812297735,16.1812297734628
"94","영광군",806,37,27,10,45.9057071960298,33.4987593052109,12.4069478908189
"95","영덕군",647,29,24,5,44.822256568779,37.0942812982998,7.72797527047913
"96","영동군",1008,47,27,20,46.6269841269841,26.7857142857143,19.8412698412698
"97","영암군",744,46,36,10,61.8279569892473,48.3870967741935,13.4408602150538
"98","영양군",330,17,12,5,51.5151515151515,36.3636363636364,15.1515151515152
"99","영월군",672,21,15,6,31.25,22.3214285714286,8.92857142857143
"100","영주시",1252,75,51,24,59.9041533546326,40.7348242811502,19.1693290734824
"101","영천시",1599,127,107,20,79.4246404002502,66.916823014384,12.5078173858662
"102","예산군",1442,77,53,24,53.3980582524272,36.754507628294,16.6435506241331
"103","예천군",802,48,40,8,59.8503740648379,49.8753117206983,9.97506234413965
"104","오산시",1454,65,44,21,44.7042640990371,30.2613480055021,14.4429160935351
"105","옥천군",923,49,34,15,53.0877573131094,36.8364030335861,16.2513542795233
"106","완도군",894,47,36,11,52.572706935123,40.2684563758389,12.3042505592841
"107","완주군",977,56,41,15,57.3183213920164,41.9651995905834,15.353121801433
"108","용인시기흥구",3079,169,116,53,54.8879506333225,37.6745696654758,17.2133809678467
"109","용인시수지구",2439,125,92,33,51.250512505125,37.720377203772,13.530135301353
"110","용인시처인구",2597,110,71,39,42.3565652676165,27.3392375818252,15.0173276857913
"111","울릉군",61,4,3,1,65.5737704918033,49.1803278688525,16.3934426229508
"112","울진군",798,31,28,3,38.8471177944862,35.0877192982456,3.7593984962406
"113","원주시",4131,175,113,62,42.3626240619705,27.3541515371581,15.0084725248124
"114","음성군",1168,60,38,22,51.3698630136986,32.5342465753425,18.8356164383562
"115","의령군",505,37,33,4,73.2673267326733,65.3465346534654,7.92079207920792
"116","의성군",1388,59,41,18,42.507204610951,29.5389048991354,12.9682997118156
"117","의왕시",1081,57,39,18,52.7289546716004,36.0777058279371,16.6512488436633
"118","의정부시",4040,312,211,101,77.2277227722772,52.2277227722772,25
"119","이천시",1800,95,72,23,52.7777777777778,40,12.7777777777778
"120","익산시",2564,235,184,51,91.6536661466459,71.7628705148206,19.8907956318253
"121","인제군",335,4,3,1,11.9402985074627,8.95522388059702,2.98507462686567
"122","임실군",576,36,27,9,62.5,46.875,15.625
"123","장성군",613,38,31,7,61.9902120717781,50.5709624796085,11.4192495921697
"124","장수군",321,19,15,4,59.190031152648,46.7289719626168,12.4610591900312
"125","장흥군",697,42,37,5,60.2582496413199,53.0846484935438,7.17360114777618
